k_1: 20, k_2: 40, k_3: 20, e: 0.00500, score: 0.01616499 
k_1: 20, k_2: 40, k_3: 20, e: 0.01000, score: 0.01409142 
k_1: 20, k_2: 40, k_3: 30, e: 0.00050, score: 0.01027313 
k_1: 20, k_2: 40, k_3: 30, e: 0.00100, score: 0.00994426 
k_1: 20, k_2: 40, k_3: 30, e: 0.00500, score: 0.40313266 
k_1: 20, k_2: 40, k_3: 30, e: 0.01000, score: 0.39363434 
k_1: 20, k_2: 40, k_3: 40, e: 0.00050, score: 0.01074136 
k_1: 20, k_2: 40, k_3: 40, e: 0.00100, score: 0.01050725 
k_1: 20, k_2: 40, k_3: 40, e: 0.00500, score: 0.01054627 
k_1: 20, k_2: 40, k_3: 40, e: 0.01000, score: 0.01189521 
k_1: 20, k_2: 40, k_3: 50, e: 0.00050, score: 0.00974916 
k_1: 20, k_2: 40, k_3: 50, e: 0.00100, score: 0.00966555 
k_1: 20, k_2: 40, k_3: 50, e: 0.00500, score: 0.39071349 
k_1: 20, k_2: 40, k_3: 50, e: 0.01000, score: 0.39930323 
k_1: 20, k_2: 40, k_3: 75, e: 0.00050, score: 0.01018952 
k_1: 20, k_2: 40, k_3: 75, e: 0.00100, score: 0.00984392 
k_1: 20, k_2: 40, k_3: 75, e: 0.00500, score: 0.01041806 
k_1: 20, k_2: 40, k_3: 75, e: 0.01000, score: 0.01370680 
k_1: 20, k_2: 40, k_3: 100, e: 0.00050, score: 0.01031215 
k_1: 20, k_2: 40, k_3: 100, e: 0.00100, score: 0.00948718 
k_1: 20, k_2: 40, k_3: 100, e: 0.00500, score: 0.01021182 
k_1: 20, k_2: 40, k_3: 100, e: 0.01000, score: 0.01267559 
k_1: 20, k_2: 50, k_3: 10, e: 0.00050, score: 0.55730212 
k_1: 20, k_2: 50, k_3: 10, e: 0.00100, score: 0.59219064 
k_1: 20, k_2: 50, k_3: 10, e: 0.00500, score: 0.58896321 
k_1: 20, k_2: 50, k_3: 10, e: 0.01000, score: 0.61687291 
k_1: 20, k_2: 50, k_3: 20, e: 0.00050, score: 0.01164994 
k_1: 20, k_2: 50, k_3: 20, e: 0.00100, score: 0.30074693 
k_1: 20, k_2: 50, k_3: 20, e: 0.00500, score: 0.01603679 
k_1: 20, k_2: 50, k_3: 20, e: 0.01000, score: 0.01768673 
k_1: 20, k_2: 50, k_3: 30, e: 0.00050, score: 0.00994426 
k_1: 20, k_2: 50, k_3: 30, e: 0.00100, score: 0.01032330 
k_1: 20, k_2: 50, k_3: 30, e: 0.00500, score: 0.39218506 
k_1: 20, k_2: 50, k_3: 30, e: 0.01000, score: 0.39380713 
k_1: 20, k_2: 50, k_3: 40, e: 0.00050, score: 0.01079153 
k_1: 20, k_2: 50, k_3: 40, e: 0.00100, score: 0.01050725 
k_1: 20, k_2: 50, k_3: 40, e: 0.00500, score: 0.01046265 
k_1: 20, k_2: 50, k_3: 40, e: 0.01000, score: 0.01191750 
